Strain	Admin Division	Division of exposure	gisaid_epi_isl	Originating Lab	Region	Region of exposure	Submitting Lab	Author
Korea/KCDC2011/2020	South Korea	South Korea	EPI_ISL_426181	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Asia	Asia	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al B
Korea/KCDC2010/2020	South Korea	South Korea	EPI_ISL_426180	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Asia	Asia	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al B
Beijing/Wuhan_IME-BJ03/2020	Beijing	Beijing	EPI_ISL_424357		Asia	Asia	Beijing Institute of Microbiology and Epidemiology	Fan et al
Beijing/231/2020	Beijing	Beijing	EPI_ISL_413519		Asia	Asia	Infectious Disease Control Center	Li et al
Beijing/105/2020	Beijing	Beijing	EPI_ISL_413518		Asia	Asia	Infectious Disease Control Center	Li et al
Henan/HN03/2020	Henan	Henan	EPI_ISL_450442		Asia	Asia	The Department of Infectious Disease Prevention and Control	Li et al
SouthKorea/KCDC06/2020	Seoul	Seoul	EPI_ISL_412870	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Asia	Asia	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al B
Beijing/Wuhan_IME-BJ02/2020	Beijing	Beijing	EPI_ISL_424356		Asia	Asia	Beijing Institute of Microbiology and Epidemiology	Fan et al
Beijing/235/2020	Beijing	Beijing	EPI_ISL_413521		Asia	Asia	Infectious Disease Control Center	Li et al
SouthKorea/KCDC03/2020	Gyeonggi	Gyeonggi	EPI_ISL_407193	Korea Centers for Disease Control & Prevention (KCDC) Center for Laboratory Control of Infectious Diseases Division of Viral Diseases	Asia	Asia	Korea Centers for Disease Control & Prevention (KCDC) Center for Laboratory Control of Infectious Diseases Division of Viral Diseases	Jeong-Min Kim et al B
Beijing/BJ390/2020	Beijing	Beijing	EPI_ISL_430730	Chinese PLA Institute for Disease Control and Prevention	Asia	Asia	Chinese PLA Institute for Disease Control and Prevention	Peng Li et al
Korea/KCDC2018/2020	South Korea	South Korea	EPI_ISL_427812	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Asia	Asia	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al B
SouthKorea/KUMC05/2020	South Korea	South Korea	EPI_ISL_413515	Division of Infectious Diseases, Department of Internal Medicine, Korea University College of Medicine	Asia	Asia	Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University	Changmin Kang et al
SouthKorea/KUMC04/2020	South Korea	South Korea	EPI_ISL_413514	Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University	Asia	Asia	Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University	Changmin Kang et al
SouthKorea/KUMC06/2020	South Korea	South Korea	EPI_ISL_413516	Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University	Asia	Asia	Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University	Changmin Kang et al
SouthKorea/KUMC03/2020	South Korea	South Korea	EPI_ISL_413513	Division of Infectious Diseases, Department of Internal Medicine, Korea University College of Medicine	Asia	Asia	Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University	Changmin Kang et al
Wuhan/HB-WH5-231/2020	Hubei	Hubei	EPI_ISL_454974	Wuhan Chain Medical Labs (CMLabs)	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Wuhan/HB-WH6-246/2020	Hubei	Hubei	EPI_ISL_454983	Wuhan Chain Medical Labs (CMLabs)	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Guangdong/20SF115/2020	Guangdong	Guangdong	EPI_ISL_428443	Guangdong Provincial Center for Diseases Control and Prevention;Guangdong Provincial Institute of Public Health	Asia	Asia	School of Public Health, The University of Hong Kong	Bosheng Li et al
Shanghai/SH0017/2020	Shanghai	Shanghai	EPI_ISL_416328	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	Asia	Asia	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Guangdong/20SF254/2020	Guangdong	Guangdong	EPI_ISL_428457	Guangdong Provincial Center for Diseases Control and Prevention;Guangdong Provincial Institute of Public Health	Asia	Asia	School of Public Health, The University of Hong Kong	Bosheng Li et al
Vietnam/CM99/2020	Vinhphuc	Vinhphuc	EPI_ISL_416429	National Influenza Center, National Institute of Hygiene and Epidemiology (NIHE)	Asia	Asia	National Influenza Center, National Institute of Hygiene and Epidemiology (NIHE)	Le Quynh Mai et al
Sichuan/IVDC-SC-001/2020	Sichuan	Sichuan	EPI_ISL_408484	National Institute for Viral Disease Control and Prevention, China CDC	Asia	Asia	National Institute for Viral Disease Control & Prevention, CCDC	Wenjie Tan et al C (https://dx.doi.org/10.1101/2020.02.29.971101)
HongKong/HKU-001a/2020	Hong Kong	Hong Kong	EPI_ISL_434571		Asia	Asia	Microbiology	Chan et al
HongKong/VM20001061-2/2020	Hong Kong	Hong Kong	EPI_ISL_412028	Hong Kong Department of Health	Asia	Asia	School of Public Health, The University of Hon g Kong	Dominic N.C. Tsang et al
Vietnam/38142/2020	Thanh Hoa	Thanh Hoa	EPI_ISL_416427	National Influenza Center, National Institute of Hygiene and Epidemiology (NIHE)	Asia	Asia	National Influenza Center, National Institute of Hygiene and Epidemiology (NIHE)	Le Quynh Mai et al
Vietnam/VR03-38142/2020	Thanh Hoa	Hubei	EPI_ISL_408668	National Influenza Center - National Institute of Hygiene and Epidemiology (NIHE)	Asia	Asia	National Influenza Center - National Institute of Hygiene and Epidemiology (NIHE)	Ung Thi Hong Trang et al
Guangdong/GZ-S6-P0050/2020	Guangdong	Guangdong	EPI_ISL_413873	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Asia	Asia	Guangdong Provincial Institution of Public Health	Jing Lu et al (https://dx.doi.org/10.1016/j.cell.2020.04.023)
Shanghai/SH0128/2020	Shanghai	Shanghai	EPI_ISL_416409	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	Asia	Asia	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0079/2020	Shanghai	Shanghai	EPI_ISL_416381	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	Asia	Asia	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0029/2020	Shanghai	Shanghai	EPI_ISL_416338	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	Asia	Asia	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0032/2020	Shanghai	Shanghai	EPI_ISL_416341	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	Asia	Asia	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Korea/KCDC2014/2020	South Korea	South Korea	EPI_ISL_426187	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Asia	Asia	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al B
Korea/KCDC2013/2020	South Korea	South Korea	EPI_ISL_426183	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Asia	Asia	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al B
Korea/KCDC2012/2020	South Korea	South Korea	EPI_ISL_426182	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Asia	Asia	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al B
India/NCDC-3279/2020	Delhi	Delhi	EPI_ISL_436434	National Centre for Disease control (NCDC)	Asia	Asia	NCDC/CSIR-IGIB	Pramod Kumar# et al (https://dx.doi.org/10.1101/2020.06.04.128751)
Singapore/232/2020	Singapore	Singapore	EPI_ISL_462350	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Taiwan/CGMH-CGU-29/2020	Taiwan	Taiwan	EPI_ISL_464093	Laboratory Medicine	Asia	Asia	Department of Laboratory Medicine, Lin-Kou Chang Gung Memorial Hospital, Taoyuan, Taiwan	Kuo-Chien Tsao et al
Taiwan/NTU13/2020	Taiwan	North America	EPI_ISL_422415	Department of Laboratory Medicine, National Taiwan University Hospital	Asia	North America	Microbial Genomics Core Lab, National Taiwan University Centers of Genomic and Precision Medicine	Shiou-Hwei Yeh et al A
UnitedArabEmirates/P1/2020	United Arab Emirates	United Arab Emirates	EPI_ISL_463740	Mohammed Bin Rashid University of Medicine and Health Sciences	Asia	Asia	Al Jalila Genomics Center	Ahmad Abou Tayoun et al A
Zhejiang/CN4/2020	Zhejiang	Zhejiang	EPI_ISL_455687		Asia	Asia	Department of Microbiology	Gao et al
Singapore/20/2020	Singapore	Singapore	EPI_ISL_418993	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Guangdong/GD2020086-P0021/2020	Guangdong	Guangdong	EPI_ISL_413862	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Asia	Asia	Guangdong Provincial Institution of Public Health	Jing Lu et al (https://dx.doi.org/10.1016/j.cell.2020.04.023)
Guangdong/GD2020234-P0023/2020	Guangdong	Guangdong	EPI_ISL_413855	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Asia	Asia	Guangdong Provincial Institution of Public Health	Jing Lu et al (https://dx.doi.org/10.1016/j.cell.2020.04.023)
Chongqing/YC01/2020	Chongqing	Chongqing	EPI_ISL_408478	Yongchuan District Center for Disease Control and Prevention	Asia	Asia	Chongqing Municipal Center for Disease Control and Prevention	Ye Sheng et al
Sichuan/SC-MY-059/2020	Sichuan	Sichuan	EPI_ISL_451325	West China Hospital of Sichuan University	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Fuzhou/JX2012/2020	Jiangxi	Jiangxi	EPI_ISL_455462	Jiangxi Province Center for Disease Control and Prevention	Asia	Asia	Jiangxi Province Center for Disease Control and Prevention	JianXiong Li et al
Fuzhou/JX2009/2020	Jiangxi	Jiangxi	EPI_ISL_455464	Jiangxi Province Center for Disease Control and Prevention	Asia	Asia	Jiangxi Province Center for Disease Control and Prevention	JianXiong Li et al
Fujian/8/2020	Fujian	Fujian	EPI_ISL_411060	Fujian Center for Disease Control and Prevention	Asia	Asia	Fujian Center for Disease Control and Prevention	Chen Wei et al
Guangdong/20SF118/2020	Guangdong	Guangdong	EPI_ISL_428448	Guangdong Provincial Center for Diseases Control and Prevention;Guangdong Provincial Institute of Public Health	Asia	Asia	School of Public Health, The University of Hong Kong	Bosheng Li et al
USA/WA1/2020	North America	Asia	EPI_ISL_404895	Providence Regional Medical Center	North America	Asia	Division of Viral Diseases, Centers for Disease Control and Prevention	Queen et al (https://dx.doi.org/10.1101/2020.03.02.972935)
Malaysia/MKAK-CL-2020-6430/2020	Selangor	Selangor	EPI_ISL_416886	National Public Health Laboratory	Asia	Asia	Malaysia Genome Institute	Mohd Noor Mat Isa et al
Hangzhou/ZJU-08/2020	Zhejiang	Zhejiang	EPI_ISL_416473	State Key Laboratory for Diagnosis and Treatment of Infectious Diseases, National Clinical Research Center for Infectious Diseases, First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, China 310003	Asia	Asia	State Key Laboratory for Diagnosis and Treatment of Infectious Diseases, National Clinical Research Center for Infectious Diseases, First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, China 310003	Hangping Yao et al A (https://dx.doi.org/10.1056/NEJMoa2006100)
Taiwan/TSGH-33/2020	New Taipei City	New Taipei City	EPI_ISL_447592	TSGH-CP molecular lab	Asia	Asia	TSGH-CP molecular lab	Cherng-Lih Perng et al
Vietnam/HCMC-35019/2020	Ho Chi Minh City	Ho Chi Minh City	EPI_ISL_450743	OUCRU/HTD	Asia	Asia	OUCRU/HTD	Nguyen Van Vinh Chau et al
India/NIV-2810/2020	Maharashtra	Maharashtra	EPI_ISL_452202	NIV Influenza	Asia	Asia	NIV Influenza	Potdar V et al B
Colombia/INS-79489/2020	South America	South America	EPI_ISL_456123	Instituto Nacional de Salud - Unidad de Secuenciación y Análisis Genómico	South America	South America	Instituto Nacional de Salud, Universidad Cooperativa de Colombia, Instituto Alexander von Humboldt, Imperial College-London, London School of Hygiene & Tropical Medicine	Katherine Laiton-Donato et al (https://dx.doi.org/10.1101/2020.06.02.20120782)
Taiwan/TSGH-34/2020	New Taipei City	New Taipei City	EPI_ISL_447593	TSGH-CP molecular lab	Asia	Asia	TSGH-CP molecular lab	Cherng-Lih Perng et al
India/NCDC-01501/2020	Delhi	Delhi	EPI_ISL_435110	National Centre for Disease control (NCDC), CSIR-Institute of Genomics and Integrative Biology (CSIR-IGIB)	Asia	Asia	NCDC/CSIR-IGIB	Pramod Kumar et al (https://dx.doi.org/10.1101/2020.06.04.128751)
CostaRica/03/2020	North America	North America	EPI_ISL_434536	Hospital San Vicente de Paul	North America	North America	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Duarte et al
Uruguay/UY-7/2020	South America	South America	EPI_ISL_426482	Microbial Genomics Laboratory, Institut Pasteur Montevideo, Uruguay	South America	South America	Microbial Genomics Laboratory, Institut Pasteur Montevideo	Cecilia Salazar et al (https://dx.doi.org/10.1101/2020.05.09.086223)
Uruguay/UY-8/2020	South America	South America	EPI_ISL_426583	Microbial Genomics Laboratory, Institut Pasteur Monteivdeo	South America	South America	Microbial Genomics Laboratory, Institut Pasteur Montevideo, Uruguay	Cecilia Salazar et al (https://dx.doi.org/10.1101/2020.05.09.086223)
Taiwan/TSGH-16/2020	New Taipei City	New Taipei City	EPI_ISL_436101	TSGH-CP molecular lab	Asia	Asia	TSGH-CP molecular lab	Cherng-Lih Perng et al
Australia/VIC1235/2020	Oceania	Oceania	EPI_ISL_430512	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Oceania	Oceania	Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, The Peter Doherty Institute for Infection and Immunity	Caly L. et al A (https://dx.doi.org/10.1101/2020.05.12.20099929)
Australia/NSW04/2020	Oceania	Oceania	EPI_ISL_417030	Centre for Infectious Diseases and Microbiology Laboratory Services	Oceania	Oceania	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Eden J-S et al (https://dx.doi.org/10.1101/2020.04.19.048751)
Thailand/Bangkok_580/2020	Bangkok	Bangkok	EPI_ISL_447918		Asia	Asia	National Institute of Health. Department of medical Sciences, Ministry of Public Health, Thailand	Pilailuk et al A
Shenzhen/HKU-SZ-005/2020	Guangdong	Guangdong	EPI_ISL_405839	The University of Hong Kong - Shenzhen Hospital	Asia	Asia	Li Ka Shing Faculty of Medicine, The University of Hong Kong	Chan et al
Shanghai/SH0059/2020	Shanghai	Shanghai	EPI_ISL_416366	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	Asia	Asia	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Wuhan/HB-WHCM-104/2020	Hubei	Hubei	EPI_ISL_454989	Wuhan Chain Medical Labs (CMLabs)	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Wuhan/HB-WHCM-118/2020	Hubei	Hubei	EPI_ISL_455406	Wuhan Chain Medical Labs (CMLabs)	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Beijing/Wuhan_IME-BJ01/2020	Beijing	Beijing	EPI_ISL_424355		Asia	Asia	Beijing Institute of Microbiology and Epidemiology	Fan et al
Beijing/BJ782/2020	Beijing	Beijing	EPI_ISL_430741	Chinese PLA Institute for Disease Control and Prevention	Asia	Asia	Chinese PLA Institute for Disease Control and Prevention	Peng Li et al
Beijing/BJ752/2020	Beijing	Beijing	EPI_ISL_430724	Chinese PLA Institute for Disease Control and Prevention	Asia	Asia	Chinese PLA Institute for Disease Control and Prevention	Peng Li et al
Beijing/BJ492/2020	Beijing	Beijing	EPI_ISL_430728	Chinese PLA Institute for Disease Control and Prevention	Asia	Asia	Chinese PLA Institute for Disease Control and Prevention	Peng Li et al
